State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH_Head,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,village_name,state_name,district_code,district_name,_source_file
11,241,00000,000000,0000,000000,DISTRICT,North  District,Total,214,982,536,446,108,61,47,595,349,246,387,187,200,454,318,136,388,282,106,64,42,22,29,15,14,3,2,1,292,223,69,66,36,30,3,2,1,33,15,18,8,5,3,22,14,8,47,20,27,1,0,1,25,10,15,4,1,3,17,9,8,19,16,3,2,2,0,8,5,3,4,4,0,5,5,0,528,218,310,000000,Sikkim,1101,North Sikkim,PCA_SC1101_2011_MDDS_DDW.xlsx
11,241,00000,000000,0000,000000,DISTRICT,North  District,Rural,176,804,441,363,88,48,40,481,281,200,323,160,163,392,268,124,328,232,96,61,41,20,25,12,13,3,2,1,239,177,62,64,36,28,2,2,0,33,15,18,7,5,2,22,14,8,45,20,25,0,0,0,25,10,15,3,1,2,17,9,8,19,16,3,2,2,0,8,5,3,4,4,0,5,5,0,412,173,239,000000,Sikkim,1101,North Sikkim,PCA_SC1101_2011_MDDS_DDW.xlsx
11,241,00000,000000,0000,000000,DISTRICT,North  District,Urban,38,178,95,83,20,13,7,114,68,46,64,27,37,62,50,12,60,50,10,3,1,2,4,3,1,0,0,0,53,46,7,2,0,2,1,0,1,0,0,0,1,0,1,0,0,0,2,0,2,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,45,71,000000,Sikkim,1101,North Sikkim,PCA_SC1101_2011_MDDS_DDW.xlsx
11,241,01547,000000,0000,000000,SUB-DISTRICT,Tshungthang,Total,46,183,113,70,18,11,7,108,69,39,75,44,31,109,82,27,99,75,24,3,2,1,3,3,0,1,0,1,92,70,22,10,7,3,1,1,0,2,1,1,2,1,1,5,4,1,9,6,3,0,0,0,2,1,1,2,1,1,5,4,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,74,31,43,000000,Sikkim,1101,North Sikkim,PCA_SC1101_2011_MDDS_DDW.xlsx
11,241,01547,000000,0000,000000,SUB-DISTRICT,Tshungthang,Rural,46,183,113,70,18,11,7,108,69,39,75,44,31,109,82,27,99,75,24,3,2,1,3,3,0,1,0,1,92,70,22,10,7,3,1,1,0,2,1,1,2,1,1,5,4,1,9,6,3,0,0,0,2,1,1,2,1,1,5,4,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,74,31,43,000000,Sikkim,1101,North Sikkim,PCA_SC1101_2011_MDDS_DDW.xlsx
11,241,01547,000000,0000,000000,SUB-DISTRICT,Tshungthang,Urban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000000,Sikkim,1101,North Sikkim,PCA_SC1101_2011_MDDS_DDW.xlsx
11,241,01548,000000,0000,000000,SUB-DISTRICT,Mangan,Total,168,799,423,376,90,50,40,487,280,207,312,143,169,345,236,109,289,207,82,61,40,21,26,12,14,2,2,0,200,153,47,56,29,27,2,1,1,31,14,17,6,4,2,17,10,7,38,14,24,1,0,1,23,9,14,2,0,2,12,5,7,18,15,3,1,1,0,8,5,3,4,4,0,5,5,0,454,187,267,000000,Sikkim,1101,North Sikkim,PCA_SC1101_2011_MDDS_DDW.xlsx
11,241,01548,000000,0000,000000,SUB-DISTRICT,Mangan,Rural,130,621,328,293,70,37,33,373,212,161,248,116,132,283,186,97,229,157,72,58,39,19,22,9,13,2,2,0,147,107,40,54,29,25,1,1,0,31,14,17,5,4,1,17,10,7,36,14,22,0,0,0,23,9,14,1,0,1,12,5,7,18,15,3,1,1,0,8,5,3,4,4,0,5,5,0,338,142,196,000000,Sikkim,1101,North Sikkim,PCA_SC1101_2011_MDDS_DDW.xlsx
11,241,01548,000000,0000,000000,SUB-DISTRICT,Mangan,Urban,38,178,95,83,20,13,7,114,68,46,64,27,37,62,50,12,60,50,10,3,1,2,4,3,1,0,0,0,53,46,7,2,0,2,1,0,1,0,0,0,1,0,1,0,0,0,2,0,2,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,45,71,000000,Sikkim,1101,North Sikkim,PCA_SC1101_2011_MDDS_DDW.xlsx
11,241,01548,801416,0000,000000,TOWN,Mangan (NP),Urban,38,178,95,83,20,13,7,114,68,46,64,27,37,62,50,12,60,50,10,3,1,2,4,3,1,0,0,0,53,46,7,2,0,2,1,0,1,0,0,0,1,0,1,0,0,0,2,0,2,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,45,71,801416,Sikkim,1101,North Sikkim,PCA_SC1101_2011_MDDS_DDW.xlsx
