State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH_Head,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,village_name,state_name,district_code,district_name,_source_file
11,243,00000,000000,0000,000000,DISTRICT,South District,Total,1254,6053,3058,2995,732,370,362,4109,2228,1881,1944,830,1114,2986,1755,1231,2024,1378,646,790,474,316,78,49,29,48,40,8,1108,815,293,962,377,585,376,152,224,155,71,84,42,23,19,389,131,258,668,247,421,242,88,154,103,48,55,27,13,14,296,98,198,294,130,164,134,64,70,52,23,29,15,10,5,93,33,60,3067,1303,1764,000000,Sikkim,1103,South Sikkim,PCA_SC1103_2011_MDDS_DDW.xlsx
11,243,00000,000000,0000,000000,DISTRICT,South District,Rural,1029,5042,2569,2473,637,321,316,3344,1842,1502,1698,727,971,2614,1503,1111,1682,1145,537,789,473,316,76,47,29,42,37,5,775,588,187,932,358,574,376,152,224,152,69,83,41,23,18,363,114,249,643,232,411,242,88,154,100,46,54,26,13,13,275,85,190,289,126,163,134,64,70,52,23,29,15,10,5,88,29,59,2428,1066,1362,000000,Sikkim,1103,South Sikkim,PCA_SC1103_2011_MDDS_DDW.xlsx
11,243,00000,000000,0000,000000,DISTRICT,South District,Urban,225,1011,489,522,95,49,46,765,386,379,246,103,143,372,252,120,342,233,109,1,1,0,2,2,0,6,3,3,333,227,106,30,19,11,0,0,0,3,2,1,1,0,1,26,17,9,25,15,10,0,0,0,3,2,1,1,0,1,21,13,8,5,4,1,0,0,0,0,0,0,0,0,0,5,4,1,639,237,402,000000,Sikkim,1103,South Sikkim,PCA_SC1103_2011_MDDS_DDW.xlsx
11,243,01551,000000,0000,000000,SUB-DISTRICT,Namchi,Total,958,4602,2321,2281,511,266,245,3230,1728,1502,1372,593,779,2225,1320,905,1559,1047,512,549,323,226,49,29,20,37,29,8,924,666,258,666,273,393,262,110,152,66,38,28,37,20,17,301,105,196,451,177,274,159,61,98,49,27,22,22,10,12,221,79,142,215,96,119,103,49,54,17,11,6,15,10,5,80,26,54,2377,1001,1376,000000,Sikkim,1103,South Sikkim,PCA_SC1103_2011_MDDS_DDW.xlsx
11,243,01551,000000,0000,000000,SUB-DISTRICT,Namchi,Rural,733,3591,1832,1759,416,217,199,2465,1342,1123,1126,490,636,1853,1068,785,1217,814,403,548,322,226,47,27,20,31,26,5,591,439,152,636,254,382,262,110,152,63,36,27,36,20,16,275,88,187,426,162,264,159,61,98,46,25,21,21,10,11,200,66,134,210,92,118,103,49,54,17,11,6,15,10,5,75,22,53,1738,764,974,000000,Sikkim,1103,South Sikkim,PCA_SC1103_2011_MDDS_DDW.xlsx
11,243,01551,000000,0000,000000,SUB-DISTRICT,Namchi,Urban,225,1011,489,522,95,49,46,765,386,379,246,103,143,372,252,120,342,233,109,1,1,0,2,2,0,6,3,3,333,227,106,30,19,11,0,0,0,3,2,1,1,0,1,26,17,9,25,15,10,0,0,0,3,2,1,1,0,1,21,13,8,5,4,1,0,0,0,0,0,0,0,0,0,5,4,1,639,237,402,000000,Sikkim,1103,South Sikkim,PCA_SC1103_2011_MDDS_DDW.xlsx
11,243,01551,801419,0000,000000,TOWN,Namchi (M Cl),Urban,98,444,216,228,41,22,19,339,174,165,105,42,63,164,108,56,145,99,46,0,0,0,1,1,0,6,3,3,138,95,43,19,9,10,0,0,0,3,2,1,1,0,1,15,7,8,18,8,10,0,0,0,3,2,1,1,0,1,14,6,8,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,280,108,172,801419,Sikkim,1103,South Sikkim,PCA_SC1103_2011_MDDS_DDW.xlsx
11,243,01551,801420,0000,000000,TOWN,Jorethang (NP),Urban,127,567,273,294,54,27,27,426,212,214,141,61,80,208,144,64,197,134,63,1,1,0,1,1,0,0,0,0,195,132,63,11,10,1,0,0,0,0,0,0,0,0,0,11,10,1,7,7,0,0,0,0,0,0,0,0,0,0,7,7,0,4,3,1,0,0,0,0,0,0,0,0,0,4,3,1,359,129,230,801420,Sikkim,1103,South Sikkim,PCA_SC1103_2011_MDDS_DDW.xlsx
11,243,01552,000000,0000,000000,SUB-DISTRICT,Ravong,Total,296,1451,737,714,221,104,117,879,500,379,572,237,335,761,435,326,465,331,134,241,151,90,29,20,9,11,11,0,184,149,35,296,104,192,114,42,72,89,33,56,5,3,2,88,26,62,217,70,147,83,27,56,54,21,33,5,3,2,75,19,56,79,34,45,31,15,16,35,12,23,0,0,0,13,7,6,690,302,388,000000,Sikkim,1103,South Sikkim,PCA_SC1103_2011_MDDS_DDW.xlsx
11,243,01552,000000,0000,000000,SUB-DISTRICT,Ravong,Rural,296,1451,737,714,221,104,117,879,500,379,572,237,335,761,435,326,465,331,134,241,151,90,29,20,9,11,11,0,184,149,35,296,104,192,114,42,72,89,33,56,5,3,2,88,26,62,217,70,147,83,27,56,54,21,33,5,3,2,75,19,56,79,34,45,31,15,16,35,12,23,0,0,0,13,7,6,690,302,388,000000,Sikkim,1103,South Sikkim,PCA_SC1103_2011_MDDS_DDW.xlsx
11,243,01552,000000,0000,000000,SUB-DISTRICT,Ravong,Urban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,000000,Sikkim,1103,South Sikkim,PCA_SC1103_2011_MDDS_DDW.xlsx
