State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH_Head,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,village_name,state_name,district_code,district_name,_source_file
11,244,00000,000000,0000,000000,DISTRICT,East District,Total,3299,15305,7743,7562,1851,908,943,10774,5828,4946,4531,1915,2616,7094,4441,2653,5442,3689,1753,1022,551,471,303,163,140,164,126,38,3953,2849,1104,1652,752,900,395,142,253,455,159,296,64,26,38,738,425,313,1248,594,654,259,87,172,350,132,218,44,22,22,595,353,242,404,158,246,136,55,81,105,27,78,20,4,16,143,72,71,8211,3302,4909,000000,Sikkim,1104,East Sikkim,PCA_SC1104_2011_MDDS_DDW.xlsx
11,244,00000,000000,0000,000000,DISTRICT,East District,Rural,1805,8826,4508,4318,1193,578,615,5764,3189,2575,3062,1319,1743,4469,2637,1832,3244,2156,1088,1012,543,469,292,158,134,105,79,26,1835,1376,459,1225,481,744,389,139,250,430,143,287,44,18,26,362,181,181,888,359,529,254,85,169,332,119,213,30,14,16,272,141,131,337,122,215,135,54,81,98,24,74,14,4,10,90,40,50,4357,1871,2486,000000,Sikkim,1104,East Sikkim,PCA_SC1104_2011_MDDS_DDW.xlsx
11,244,00000,000000,0000,000000,DISTRICT,East District,Urban,1494,6479,3235,3244,658,330,328,5010,2639,2371,1469,596,873,2625,1804,821,2198,1533,665,10,8,2,11,5,6,59,47,12,2118,1473,645,427,271,156,6,3,3,25,16,9,20,8,12,376,244,132,360,235,125,5,2,3,18,13,5,14,8,6,323,212,111,67,36,31,1,1,0,7,3,4,6,0,6,53,32,21,3854,1431,2423,000000,Sikkim,1104,East Sikkim,PCA_SC1104_2011_MDDS_DDW.xlsx
11,244,01553,000000,0000,000000,SUB-DISTRICT,Gangtok,Total,2630,12065,6113,5952,1432,704,728,8601,4658,3943,3464,1455,2009,5632,3512,2120,4294,2898,1396,687,366,321,209,114,95,128,96,32,3270,2322,948,1338,614,724,326,116,210,332,118,214,52,20,32,628,360,268,1037,499,538,219,74,145,262,100,162,34,17,17,522,308,214,301,115,186,107,42,65,70,18,52,18,3,15,106,52,54,6433,2601,3832,000000,Sikkim,1104,East Sikkim,PCA_SC1104_2011_MDDS_DDW.xlsx
11,244,01553,000000,0000,000000,SUB-DISTRICT,Gangtok,Rural,1261,6183,3162,3021,845,412,433,4034,2241,1793,2149,921,1228,3206,1859,1347,2265,1495,770,680,361,319,201,111,90,79,58,21,1305,965,340,941,364,577,321,114,207,313,107,206,33,13,20,274,130,144,700,280,420,215,73,142,248,90,158,21,10,11,216,107,109,241,84,157,106,41,65,65,17,48,12,3,9,58,23,35,2977,1303,1674,000000,Sikkim,1104,East Sikkim,PCA_SC1104_2011_MDDS_DDW.xlsx
11,244,01553,000000,0000,000000,SUB-DISTRICT,Gangtok,Urban,1369,5882,2951,2931,587,292,295,4567,2417,2150,1315,534,781,2426,1653,773,2029,1403,626,7,5,2,8,3,5,49,38,11,1965,1357,608,397,250,147,5,2,3,19,11,8,19,7,12,354,230,124,337,219,118,4,1,3,14,10,4,13,7,6,306,201,105,60,31,29,1,1,0,5,1,4,6,0,6,48,29,19,3456,1298,2158,000000,Sikkim,1104,East Sikkim,PCA_SC1104_2011_MDDS_DDW.xlsx
11,244,01553,801421,0000,000000,TOWN,Gangtok (M Corp.),Urban,1134,4793,2422,2371,476,240,236,3762,2004,1758,1031,418,613,2001,1372,629,1659,1147,512,7,5,2,8,3,5,37,28,9,1607,1111,496,342,225,117,4,1,3,17,10,7,19,7,12,302,207,95,301,202,99,3,0,3,14,10,4,13,7,6,271,185,86,41,23,18,1,1,0,3,0,3,6,0,6,31,22,9,2792,1050,1742,801421,Sikkim,1104,East Sikkim,PCA_SC1104_2011_MDDS_DDW.xlsx
11,244,01553,801422,0000,000000,TOWN,Singtam (NP),Urban,61,286,148,138,29,18,11,220,120,100,66,28,38,112,85,27,102,81,21,0,0,0,0,0,0,1,1,0,101,80,21,10,4,6,0,0,0,0,0,0,0,0,0,10,4,6,10,4,6,0,0,0,0,0,0,0,0,0,10,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,63,111,801422,Sikkim,1104,East Sikkim,PCA_SC1104_2011_MDDS_DDW.xlsx
11,244,01553,801423,0000,000000,TOWN,Rangpo (NP),Urban,174,803,381,422,82,34,48,585,293,292,218,88,130,313,196,117,268,175,93,0,0,0,0,0,0,11,9,2,257,166,91,45,21,24,1,1,0,2,1,1,0,0,0,42,19,23,26,13,13,1,1,0,0,0,0,0,0,0,25,12,13,19,8,11,0,0,0,2,1,1,0,0,0,17,7,10,490,185,305,801423,Sikkim,1104,East Sikkim,PCA_SC1104_2011_MDDS_DDW.xlsx
11,244,01554,000000,0000,000000,SUB-DISTRICT,Pakyong,Total,408,2015,1040,975,271,133,138,1313,732,581,702,308,394,1007,620,387,803,537,266,303,166,137,79,39,40,19,16,3,402,316,86,204,83,121,52,20,32,77,27,50,8,2,6,67,34,33,128,54,74,25,7,18,54,22,32,7,2,5,42,23,19,76,29,47,27,13,14,23,5,18,1,0,1,25,11,14,1008,420,588,000000,Sikkim,1104,East Sikkim,PCA_SC1104_2011_MDDS_DDW.xlsx
